student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score,exam_grade
S001,8.0,8.8,72.1,45,30.2,D
S002,1.3,8.6,60.7,55,25.0,D
S003,4.0,8.2,73.7,86,35.8,C
S004,3.5,4.8,95.1,66,34.0,C
S005,9.1,6.4,89.8,71,40.3,B
S006,8.4,5.1,58.5,75,35.7,C
S007,10.8,6.0,54.2,88,37.9,C
S008,2.0,4.3,75.8,55,18.3,E
S009,5.6,5.9,81.6,84,34.7,C
S010,1.3,8.9,66.8,70,24.7,D
S011,3.4,5.3,90.9,81,29.3,D
S012,6.6,7.9,87.6,85,35.1,C
S013,1.3,6.3,83.6,71,31.2,C
S014,3.2,6.1,61.2,68,30.2,D
S015,8.1,8.8,60.0,90,41.1,B
S016,7.0,9.0,51.2,41,34.1,C
S017,3.4,6.8,62.2,45,28.9,D
S018,7.5,7.6,73.8,58,36.3,C
S019,9.9,4.8,92.5,54,35.6,C
S020,1.1,5.5,53.6,65,17.1,E
S021,9.9,8.8,70.7,84,46.0,B
S022,8.7,6.9,81.5,55,36.1,C
S023,4.7,6.7,59.7,59,29.6,D
S024,2.7,7.7,84.8,82,35.9,C
S025,11.5,4.3,74.7,77,39.2,B
S026,4.7,6.9,62.2,63,30.0,D
S027,2.0,6.5,82.8,70,29.0,D
S028,2.1,8.3,50.3,75,26.5,D
S029,10.3,4.8,87.5,73,37.2,C
S030,7.6,8.8,88.5,62,36.2,C
S031,9.9,4.4,55.3,67,34.5,C
S032,9.0,4.9,71.3,87,41.6,B
S033,6.9,7.0,58.8,75,38.1,C
S034,11.7,7.4,97.9,61,42.7,B
S035,5.2,5.2,75.9,62,32.0,C
S036,7.1,4.6,52.5,84,32.0,C
S037,10.1,8.5,62.5,69,44.7,B
S038,7.8,5.2,92.4,57,38.3,C
S039,10.5,7.0,72.8,59,39.8,B
S040,7.4,7.1,90.1,56,35.0,C
S041,8.8,6.1,83.4,54,34.2,C
S042,1.5,6.9,99.4,47,23.1,D
S043,3.5,6.6,79.8,86,37.2,C
S044,4.2,8.7,97.5,52,30.3,D
S045,1.9,5.0,94.6,60,26.1,D
S046,3.6,7.6,80.6,47,31.8,C
S047,2.1,5.2,86.0,87,31.6,C
S048,4.1,6.0,75.2,74,31.1,D
S049,8.0,7.4,91.5,88,41.2,B
S050,5.0,5.5,77.4,84,30.6,D
S051,5.1,5.6,94.9,51,28.8,D
S052,3.3,7.8,87.2,52,30.7,D
S053,3.9,4.4,73.7,53,26.9,D
S054,11.3,6.3,63.0,87,46.4,B
S055,8.1,9.0,62.4,70,34.4,C
S056,7.7,9.0,81.9,57,37.0,C
S057,2.9,4.4,88.3,86,35.2,C
S058,9.0,5.1,76.1,77,38.2,C
S059,2.8,5.3,81.3,88,33.0,C
S060,5.2,8.7,63.7,73,29.2,D
S061,11.9,8.4,53.9,78,48.6,A
S062,8.0,8.4,64.3,58,36.1,C
S063,7.1,5.8,63.6,46,27.1,D
S064,8.5,4.8,66.0,93,36.1,C
S065,10.3,8.2,77.0,52,39.5,B
S066,9.5,7.5,56.9,58,36.7,C
S067,3.5,7.1,61.6,54,21.7,D
S068,1.4,8.9,84.7,63,32.2,C
S069,4.5,7.3,85.3,51,33.5,C
S070,3.9,4.0,53.2,59,23.9,D
S071,3.3,8.1,70.4,40,20.8,D
S072,11.4,5.5,77.1,85,47.9,A
S073,10.6,7.3,70.8,74,41.9,B
S074,4.5,8.7,60.3,48,29.5,D
S075,8.2,4.7,71.0,57,33.5,C
S076,5.4,4.6,95.2,42,26.3,D
S077,11.1,4.5,79.2,43,39.9,B
S078,6.0,6.8,84.8,75,40.3,B
S079,3.9,5.4,92.8,58,26.5,D
